id,carrier_name,name,level,plan_type,individual_medical_deductible,family_medical_deductible,individual_medical_moop,family_medical_moop,plan_coinsurance,hsa_eligible,infertility_treatment_rider,individual_drug_deductible,family_drug_deductible,primary_care_physician,network_size,individual_medical_deductible_in_network,family_medical_deductible_in_network,individual_medical_moop_in_network,family_medical_moop_in_network,coinsurance_in_network,individual_drug_deductible_in_network,family_drug_deductible_in_network,primary_care_physician_in_network_cleaned,pcp_cleaned_dollar_values_in_network,pcp_cleaned_percentages_in_network,pcp_initial_visits_in_network,pcp_after_deductible_in_network
27603CA0000008-77,CalChoice,Anthem CaliforniaCare HMO Gold HMO B,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,250 / Out-of-Network: Not Covered","In-Network: $14,500 / Out-of-Network: Not Covered",In-Network: Not Applicable / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: Not Covered,52313,0,0,7250,14500,0,0,0,$30,[30.0],[],0,False
27603CA0000007-77,CalChoice,Anthem CaliforniaCare HMO Silver HMO B,silver,HMO,"In-Network: $2,200 / Out-of-Network: Not Covered","In-Network: $4,400 / Out-of-Network: Not Covered","In-Network: $9,100 / Out-of-Network: Not Covered","In-Network: $18,200 / Out-of-Network: Not Covered",In-Network: Not Applicable / Out-of-Network: Not Applicable,False,False,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $600 / Out-of-Network: Not Covered,In-Network: $60 / Out-of-Network: Not Covered,52313,2200,4400,9100,18200,0,300,600,$60,[60.0],[],0,False
27603CA1210554,Anthem,Anthem Gold HMO 30,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,500 / Out-of-Network: Not Covered","In-Network: $15,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: Not Covered,52313,0,0,7500,15000,0,0,0,$30,[30.0],[],0,False
27603CA1210554-13,Anthem,Anthem Gold HMO 30 w/ T&L,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,500 / Out-of-Network: Not Covered","In-Network: $15,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: Not Covered,52313,0,0,7500,15000,0,0,0,$30,[30.0],[],0,False
27603CA1210295,Anthem,Anthem Gold HMO 35,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $6,750 / Out-of-Network: Not Covered","In-Network: $13,500 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,52313,0,0,6750,13500,0,0,0,$35,[35.0],[],0,False
27603CA1210295-13,Anthem,Anthem Gold HMO 35 w/ T&L,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $6,750 / Out-of-Network: Not Covered","In-Network: $13,500 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,52313,0,0,6750,13500,0,0,0,$35,[35.0],[],0,False
27603CA1211172,Anthem,Anthem Gold HMO 35/1250/20%,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,52313,1250,2500,8600,17200,20,0,0,$35,[35.0],[],0,False
27603CA1211780,Anthem,Anthem Gold HMO 35/1250/20% RxD,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,52313,1250,2500,8600,17200,20,150,300,$35,[35.0],[],0,False
27603CA1211780-13,Anthem,Anthem Gold HMO 35/1250/20% RxD w/ T&L,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,52313,1250,2500,8600,17200,20,150,300,$35,[35.0],[],0,False
27603CA1211172-13,Anthem,Anthem Gold HMO 35/1250/20% w/ T&L,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,52313,1250,2500,8600,17200,20,0,0,$35,[35.0],[],0,False
